## Sun Mar 19 01:09:13 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_16_length_124183_cov_40.602864_18	216595.PFLU_5164	1.37e-281	771.0	COG0438@1|root,COG0438@2|Bacteria,1MUB7@1224|Proteobacteria,1RQYE@1236|Gammaproteobacteria,1YN9S@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	M	Glycosyltransferase Family 4	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_trans_1_4,Glyco_transf_4,Glycos_transf_1
NODE_16_length_124183_cov_40.602864_19	690597.JH730972_gene2179	8.44e-261	715.0	COG1902@1|root,COG1902@2|Bacteria,1MVIX@1224|Proteobacteria,1RMFI@1236|Gammaproteobacteria,1YMJH@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	C	NADH:flavin oxidoreductase / NADH oxidase family	-	-	-	-	-	-	-	-	-	-	-	-	Oxidored_FMN
NODE_16_length_124183_cov_40.602864_20	690597.JH730972_gene2180	1.09e-112	323.0	COG0386@1|root,COG0386@2|Bacteria,1RD1R@1224|Proteobacteria,1RR4X@1236|Gammaproteobacteria,1YPUG@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	O	Belongs to the glutathione peroxidase family	btuE	GO:0003674,GO:0003824,GO:0004601,GO:0004602,GO:0005575,GO:0005623,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008379,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0033194,GO:0042221,GO:0042597,GO:0044464,GO:0050896,GO:0051716,GO:0051920,GO:0055114,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1901700,GO:1990748	1.11.1.9	ko:K00432	ko00480,ko00590,ko04918,map00480,map00590,map04918	-	R00274,R07034,R07035	RC00011,RC00982	ko00000,ko00001,ko01000	-	-	iE2348C_1286.E2348C_1795,iEC55989_1330.EC55989_1878,iECABU_c1320.ECABU_c19650,iEcHS_1320.EcHS_A1790,iLF82_1304.LF82_0251,iNRG857_1313.NRG857_08570,iSFV_1184.SFV_1513,ic_1306.c2106	GSHPx
NODE_16_length_124183_cov_40.602864_21	1282356.H045_00645	3.8e-109	314.0	COG1047@1|root,COG1047@2|Bacteria,1RD35@1224|Proteobacteria,1S3QR@1236|Gammaproteobacteria,1YPJ1@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	G	peptidyl-prolyl cis-trans isomerase	slyD	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005507,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006464,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010467,GO:0016151,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0022417,GO:0031647,GO:0035821,GO:0036211,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043963,GO:0044003,GO:0044068,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044501,GO:0046872,GO:0046914,GO:0050821,GO:0050896,GO:0050897,GO:0051082,GO:0051604,GO:0051701,GO:0051704,GO:0051817,GO:0052027,GO:0052250,GO:0065007,GO:0065008,GO:0071704,GO:0140096,GO:1901564	5.2.1.8	ko:K03775	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C
NODE_16_length_124183_cov_40.602864_22	216595.PFLU_0763	0.0	1335.0	COG0280@1|root,COG0857@1|root,COG0280@2|Bacteria,COG0857@2|Bacteria,1QTS5@1224|Proteobacteria,1RMJS@1236|Gammaproteobacteria,1YP0M@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	C	belongs to the CobB CobQ family	pta	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006083,GO:0006084,GO:0006085,GO:0006091,GO:0006113,GO:0006139,GO:0006163,GO:0006164,GO:0006520,GO:0006566,GO:0006567,GO:0006629,GO:0006631,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008959,GO:0009056,GO:0009058,GO:0009063,GO:0009066,GO:0009068,GO:0009108,GO:0009117,GO:0009150,GO:0009152,GO:0009165,GO:0009259,GO:0009260,GO:0009987,GO:0015980,GO:0016053,GO:0016054,GO:0016407,GO:0016740,GO:0016746,GO:0016747,GO:0016999,GO:0017000,GO:0017001,GO:0017144,GO:0018130,GO:0019413,GO:0019427,GO:0019438,GO:0019541,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0033865,GO:0033866,GO:0033875,GO:0034030,GO:0034032,GO:0034033,GO:0034641,GO:0034654,GO:0035383,GO:0035384,GO:0042737,GO:0043167,GO:0043169,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044272,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0045733,GO:0046390,GO:0046394,GO:0046395,GO:0046459,GO:0046483,GO:0046872,GO:0046914,GO:0051186,GO:0051188,GO:0055086,GO:0055114,GO:0070689,GO:0071616,GO:0071704,GO:0072329,GO:0072330,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606	2.3.1.8	ko:K13788	ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200	M00357,M00579	R00230,R00921	RC00004,RC02746,RC02816	ko00000,ko00001,ko00002,ko01000	-	-	iG2583_1286.G2583_2834,iYL1228.KPN_02688	AAA_26,DRTGG,PTA_PTB
NODE_16_length_124183_cov_40.602864_23	216595.PFLU_0762	2.45e-212	587.0	COG0204@1|root,COG0204@2|Bacteria,1MVWG@1224|Proteobacteria,1RR21@1236|Gammaproteobacteria,1YN61@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	I	Acyltransferase	yihG	-	-	-	-	-	-	-	-	-	-	-	Acyltransferase
NODE_16_length_124183_cov_40.602864_24	1470593.BW43_02025	0.0	1215.0	COG0529@1|root,COG2895@1|root,COG0529@2|Bacteria,COG2895@2|Bacteria,1MUD9@1224|Proteobacteria,1RME4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily	cysN	-	2.7.1.25,2.7.7.4	ko:K00955,ko:K00956	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00509,R00529,R04928,R04929	RC00002,RC00078,RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	-	APS_kinase,GTP_EFTU,GTP_EFTU_D2
NODE_16_length_124183_cov_40.602864_25	321846.PS417_03715	7.42e-226	621.0	COG0175@1|root,COG0175@2|Bacteria,1MUCZ@1224|Proteobacteria,1RNAD@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	sulfate adenylyltransferase), subunit 2	cysD	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004779,GO:0004781,GO:0006082,GO:0006520,GO:0006534,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016740,GO:0016772,GO:0016779,GO:0019344,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0070566,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.7.4	ko:K00957	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00529,R04929	RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	iJN746.PP_1303	PAPS_reduct
NODE_16_length_124183_cov_40.602864_26	1221522.B723_04305	8.69e-178	495.0	COG0327@1|root,COG0327@2|Bacteria,1MVUN@1224|Proteobacteria,1RNBU@1236|Gammaproteobacteria,1YNZB@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	NIF3 (NGG1p interacting factor 3)	ybgI	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0009314,GO:0009628,GO:0010212,GO:0042802,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0050896	-	-	-	-	-	-	-	-	-	-	NIF3
NODE_16_length_124183_cov_40.602864_27	690597.JH730966_gene5360	6.97e-264	724.0	COG0265@1|root,COG0265@2|Bacteria,1MU63@1224|Proteobacteria,1RN9T@1236|Gammaproteobacteria,1YPHS@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	O	Belongs to the peptidase S1C family	degS	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006508,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009897,GO:0009986,GO:0009987,GO:0010033,GO:0016020,GO:0016021,GO:0016787,GO:0017171,GO:0019538,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031233,GO:0031975,GO:0033554,GO:0035966,GO:0035967,GO:0042221,GO:0042597,GO:0042802,GO:0043170,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051716,GO:0051788,GO:0070011,GO:0070887,GO:0071218,GO:0071310,GO:0071575,GO:0071704,GO:0071944,GO:0098552,GO:0140096,GO:1901564	-	ko:K04691,ko:K04772	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	PDZ_2,Trypsin_2
NODE_16_length_124183_cov_40.602864_28	216595.PFLU_0757	0.0	1233.0	COG4773@1|root,COG4773@2|Bacteria,1QTT0@1224|Proteobacteria,1RNBT@1236|Gammaproteobacteria,1YN05@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	Plug,TonB_dep_Rec
NODE_16_length_124183_cov_40.602864_29	690597.JH730966_gene5363	8.93e-160	449.0	COG5266@1|root,COG5266@2|Bacteria,1RGKP@1224|Proteobacteria,1SCEQ@1236|Gammaproteobacteria,1YSXZ@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	P	Domain of unknown function (DUF4198)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4198
NODE_16_length_124183_cov_40.602864_30	216595.PFLU_0756	5.73e-239	657.0	COG0276@1|root,COG0276@2|Bacteria,1MVR1@1224|Proteobacteria,1RMMS@1236|Gammaproteobacteria,1YM5U@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	H	Catalyzes the ferrous insertion into protoporphyrin IX	hemH	GO:0003674,GO:0003824,GO:0004325,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009314,GO:0009416,GO:0009628,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0050896,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000	-	-	iAPECO1_1312.APECO1_1540,iECS88_1305.ECS88_0472,iEcE24377_1341.EcE24377A_0515	Ferrochelatase
NODE_16_length_124183_cov_40.602864_31	321846.PS417_03690	6.9e-203	563.0	COG1090@1|root,COG1090@2|Bacteria,1MUB4@1224|Proteobacteria,1RN6A@1236|Gammaproteobacteria	1236|Gammaproteobacteria	CH	epimerase	yfcH	-	-	ko:K07071	-	-	-	-	ko00000	-	-	-	DUF1731,Epimerase
NODE_16_length_124183_cov_40.602864_32	216595.PFLU_0754	1.91e-235	647.0	COG3380@1|root,COG3380@2|Bacteria,1R5C0@1224|Proteobacteria,1S3X1@1236|Gammaproteobacteria,1YP3P@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	H	Catalyzes the oxidation of the 1,2-dihydro- and 1,6- dihydro- isomeric forms of beta-NAD(P) back to beta-NAD(P) . May serve to protect primary metabolism dehydrogenases from inhibition by the 1,2-dihydro- and 1,6-dihydro-beta-NAD(P) isomers	-	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0036094,GO:0043167,GO:0043168,GO:0048037,GO:0050660,GO:0050661,GO:0050662,GO:0050664,GO:0051287,GO:0055114,GO:0071949,GO:0097159,GO:1901265,GO:1901363	-	ko:K06955	-	-	-	-	ko00000	-	-	-	Amino_oxidase,NAD_binding_8
NODE_16_length_124183_cov_40.602864_33	1117958.PE143B_0117235	8.26e-37	124.0	2C5D1@1|root,32YFH@2|Bacteria,1N97Z@1224|Proteobacteria,1SD06@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Tryptophan-rich protein (DUF2389)	VPA1560	-	-	-	-	-	-	-	-	-	-	-	DUF2389
NODE_16_length_124183_cov_40.602864_34	321846.PS417_03675	2.66e-218	603.0	COG1683@1|root,COG3272@1|root,COG1683@2|Bacteria,COG3272@2|Bacteria,1MXYZ@1224|Proteobacteria,1RNMF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Conserved Protein	ybgA	-	-	-	-	-	-	-	-	-	-	-	DUF1722,DUF523
NODE_16_length_124183_cov_40.602864_35	321846.PS417_03670	1.34e-189	530.0	COG0789@1|root,COG0789@2|Bacteria,1R9SN@1224|Proteobacteria,1SFN0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	MerR family transcriptional regulator	-	-	-	ko:K22491	-	-	-	-	ko00000,ko03000	-	-	-	B12-binding,B12-binding_2,MerR_1
NODE_16_length_124183_cov_40.602864_36	216595.PFLU_0750	0.0	897.0	COG0415@1|root,COG0415@2|Bacteria,1MV9Y@1224|Proteobacteria,1RNGJ@1236|Gammaproteobacteria,1YMYH@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	L	Belongs to the DNA photolyase family	phrB	GO:0003674,GO:0003824,GO:0003904,GO:0003913,GO:0006139,GO:0006259,GO:0006281,GO:0006464,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016830,GO:0018298,GO:0019538,GO:0033554,GO:0034641,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0140097,GO:1901360,GO:1901564	4.1.99.3	ko:K01669	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	DNA_photolyase,FAD_binding_7
NODE_16_length_124183_cov_40.602864_37	216595.PFLU_0749	6.91e-95	276.0	COG3631@1|root,COG3631@2|Bacteria,1MZS5@1224|Proteobacteria,1S8VN@1236|Gammaproteobacteria,1YQNA@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	SnoaL-like domain	-	-	-	-	-	-	-	-	-	-	-	-	SnoaL_2
NODE_16_length_124183_cov_40.602864_38	321846.PS417_03655	1.85e-167	470.0	COG0300@1|root,COG0300@2|Bacteria,1RFF2@1224|Proteobacteria,1S49K@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
NODE_16_length_124183_cov_40.602864_39	1415630.U771_04275	5.96e-283	775.0	COG2907@1|root,COG2907@2|Bacteria,1MV4Z@1224|Proteobacteria,1RP4P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	NAD FAD-binding protein	-	-	-	ko:K06954	-	-	-	-	ko00000	-	-	-	Amino_oxidase,NAD_binding_8
NODE_16_length_124183_cov_40.602864_40	1470593.BW43_02010	4.28e-184	513.0	COG3496@1|root,COG3496@2|Bacteria,1RC56@1224|Proteobacteria,1RRT8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Plasmid partition ParA protein	-	-	-	ko:K09701	-	-	-	-	ko00000	-	-	-	DUF1365
NODE_16_length_124183_cov_40.602864_41	321846.PS417_03640	1.06e-296	810.0	COG2230@1|root,COG2230@2|Bacteria,1MX3U@1224|Proteobacteria,1RNID@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	synthase	cfa	-	2.1.1.79	ko:K00574	-	-	-	-	ko00000,ko01000	-	-	iJN746.PP_2734	CMAS
NODE_16_length_124183_cov_40.602864_42	690597.JH730966_gene5376	9.08e-93	273.0	2CH72@1|root,32ZK4@2|Bacteria,1N8YD@1224|Proteobacteria,1SCY7@1236|Gammaproteobacteria,1YR0Q@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2878)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2878
NODE_16_length_124183_cov_40.602864_43	690597.JH730966_gene5377	1.34e-69	209.0	COG0727@1|root,COG0727@2|Bacteria,1MZPF@1224|Proteobacteria,1S8T7@1236|Gammaproteobacteria,1YQJG@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Putative zinc- or iron-chelating domain	MM2374	-	-	-	-	-	-	-	-	-	-	-	CxxCxxCC
NODE_16_length_124183_cov_40.602864_44	690597.JH730966_gene5378	8.44e-116	332.0	COG3637@1|root,COG3637@2|Bacteria,1RJJS@1224|Proteobacteria,1SET5@1236|Gammaproteobacteria,1YNKF@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	M	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	-	-	-	ko:K12976	-	-	-	-	ko00000,ko01000,ko01005	-	-	-	PagL
NODE_16_length_124183_cov_40.602864_45	1282356.H045_00530	2.01e-173	485.0	COG0796@1|root,COG0796@2|Bacteria,1NAI2@1224|Proteobacteria,1RPU9@1236|Gammaproteobacteria,1YP87@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	M	Provides the (R)-glutamate required for cell wall biosynthesis	murI	-	5.1.1.3	ko:K01776	ko00471,ko01100,map00471,map01100	-	R00260	RC00302	ko00000,ko00001,ko01000,ko01011	-	-	-	Asp_Glu_race
NODE_16_length_124183_cov_40.602864_46	1470593.BW43_02004	1.35e-162	457.0	COG0476@1|root,COG0476@2|Bacteria,1MW7H@1224|Proteobacteria,1RPJ3@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	moeB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006732,GO:0006777,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019538,GO:0019637,GO:0019720,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0061605,GO:0070566,GO:0071704,GO:0090407,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.7.7.80	ko:K21029	ko04122,map04122	-	R07459	RC00043	ko00000,ko00001,ko01000	-	-	iECIAI1_1343.ECIAI1_0865,iECW_1372.ECW_m0884,iEKO11_1354.EKO11_3059,iETEC_1333.ETEC_0893,iEcE24377_1341.EcE24377A_0897,iEcSMS35_1347.EcSMS35_0851,iWFL_1372.ECW_m0884	ThiF
NODE_16_length_124183_cov_40.602864_47	690597.JH730966_gene5381	3.79e-186	518.0	COG2890@1|root,COG2890@2|Bacteria,1MXCQ@1224|Proteobacteria,1RNGK@1236|Gammaproteobacteria,1YMQ4@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	J	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif	prmC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006464,GO:0006479,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008213,GO:0008276,GO:0008757,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0010468,GO:0016043,GO:0016740,GO:0016741,GO:0018364,GO:0019222,GO:0019538,GO:0022411,GO:0032259,GO:0032984,GO:0034641,GO:0034645,GO:0036009,GO:0036211,GO:0043043,GO:0043170,GO:0043412,GO:0043414,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0140096,GO:1901564,GO:1901566,GO:1901576	2.1.1.297	ko:K02493	-	-	R10806	RC00003,RC03279	ko00000,ko01000,ko03012	-	-	-	MTS,Methyltransf_31
NODE_16_length_124183_cov_40.602864_48	1117958.PE143B_0117310	3.95e-251	690.0	COG0216@1|root,COG0216@2|Bacteria,1MV28@1224|Proteobacteria,1RM7Q@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA	prfA	GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016149,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576	-	ko:K02835	-	-	-	-	ko00000,ko03012	-	-	-	PCRF,RF-1
NODE_16_length_124183_cov_40.602864_49	690597.JH730966_gene5383	1.17e-287	788.0	COG0373@1|root,COG0373@2|Bacteria,1MU41@1224|Proteobacteria,1RNQ8@1236|Gammaproteobacteria,1YMX1@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)	hemA	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006082,GO:0006520,GO:0006536,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0008883,GO:0009058,GO:0009064,GO:0009987,GO:0016491,GO:0016620,GO:0016903,GO:0018130,GO:0019353,GO:0019438,GO:0019752,GO:0033013,GO:0033014,GO:0033526,GO:0034641,GO:0042168,GO:0042440,GO:0042802,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:0140098,GO:0140101,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	1.2.1.70	ko:K02492	ko00860,ko01100,ko01110,ko01120,map00860,map01100,map01110,map01120	M00121	R04109	RC00055,RC00149	ko00000,ko00001,ko00002,ko01000	-	-	iECNA114_1301.ECNA114_1375,iECSF_1327.ECSF_1186,iUTI89_1310.UTI89_C1404	GlutR_N,GlutR_dimer,Shikimate_DH
NODE_16_length_124183_cov_40.602864_50	690597.JH730966_gene5384	0.0	921.0	COG0457@1|root,COG0457@2|Bacteria,1MYB8@1224|Proteobacteria,1RQIX@1236|Gammaproteobacteria,1YMGN@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	TPR_14,TPR_16,TPR_19,TPR_2,TPR_6,TPR_8
NODE_16_length_124183_cov_40.602864_51	1470593.BW43_01999	1.92e-144	407.0	COG3017@1|root,COG3017@2|Bacteria,1N02T@1224|Proteobacteria,1S91E@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Plays a critical role in the incorporation of lipoproteins in the outer membrane after they are released by the LolA protein	lolB	GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0006807,GO:0008104,GO:0008150,GO:0008152,GO:0008289,GO:0009279,GO:0010876,GO:0016020,GO:0019538,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0033218,GO:0034613,GO:0042157,GO:0042277,GO:0043170,GO:0044238,GO:0044462,GO:0044464,GO:0044872,GO:0044873,GO:0044874,GO:0051179,GO:0051641,GO:0051668,GO:0070727,GO:0071704,GO:0071723,GO:0071944,GO:0072657,GO:1901564	-	ko:K02494	-	-	-	-	ko00000	-	-	-	LolB
